statement,label,output
You dislike the fact that your health is slowly deteriorating after each cigarette.,0,Not Soft
How do you feel about the impact of your smoking habits on your health?,1,Soft
You were in a lot of pain.,0,Soft
How do you believe your experiences of pain have influenced your habits?,1,Soft
You enjoy the calming effect nicotine gives you.,0,Not Soft
How does the calming effect of nicotine influence your feelings towards it?,1,Soft
You use amphetamines too often.,0,Not Soft
How do you feel about your current frequency of amphetamine use?,1,Soft
You dislike how cigarette smoke smells.,0,Not Soft
How does the smell of cigarette smoke make you feel?,1,Soft
"You're here to talk about your gambling, is that right?",0,Soft
Could we explore your thoughts and feelings about your gaming activities?,1,Soft
You realize that by making this change you will have a big impact on your life and you are looking forward to how it will look.,0,Soft
"How do you envision the impact this change could potentially have on your life, and what are you most looking forward to about it?",1,Soft
You are concerned with the costs of smoking.,0,Not Soft
How do you feel about the financial implications of your smoking habit?,1,Soft
"You believe that by making changes to your smoking habit, you can improve your health.",0,Not Soft
Have you ever thought about how altering your smoking habits could have the potential to enhance your health?,1,Soft
You realize that quitting smoking is important for your health and would like to make this happen without relying on cigarettes.,0,Not Soft
"Have you thought about what it might look like for you to improve your health, such as exploring the possibility of not relying on cigarettes anymore?",1,Soft
You enjoy smoking because it helps you cope with stressful situations. ,0,Not Soft
Have you ever considered what role smoking plays in helping you manage stressful situations?,1,Soft
"You got mad at the way you were being treated, and so decided not to interact further.",0,Not Soft
Have you ever felt that your reaction to pull away from interaction was a result of feeling treated unfairly?,1,Soft
It would be a good idea for you to go through detoxification.,0,Not Soft
Have you ever considered what your experience might be like if you tried detoxification?,1,Soft
You realize that cigarettes can potentially cause financial stress and you wish you could spend less on tobacco.,0,Soft
Have you ever thought about how your finances might benefit if you reconsidered your tobacco use?,1,Soft
You dislike the health risks of smoking.,0,Not Soft
How do you feel about the health risks associated with your smoking habits?,1,Soft
Quitting smoking will require you to find a way to distract yourself from the craving for cigarettes.,0,Not Soft
Have you thought about what strategies you might use to manage your cigarette cravings when you decide you're ready to quit smoking?,1,Soft
It reminds you of your heart attack.,0,Not Soft
How does this experience relate to your feelings or thoughts about your past heart attack?,1,Soft
Setting long-term plans for your smoking habit would help you quit.,0,Not Soft
Have you ever considered creating a long-term plan for your smoking habit as a possible strategy for quitting?,1,Soft
"You realize that if you stop smoking, you can reduce the strain on your body. ",0,Not Soft
Have you ever thought about how your body might feel if you were to cut down on smoking or eventually quit?,1,Soft
Social interaction makes you afraid.,0,Not Soft
How do you feel about your experiences with social interaction?,1,Soft
You value productivity and would like to increase it by smoking less.,0,Soft
How do you feel your productivity may change if you considered reducing your smoking habit?,1,Soft
It is time to create a plan to stop drinking.,0,Not Soft
Have you ever considered what your life might look like if you made a plan to reduce your drinking?,1,Soft
You want to establish a daily routine so you can smoke at your ease.,0,Not Soft
Have you considered what it might look like if you were to establish a daily routine that comfortably accommodates your smoking habits?,1,Soft
"If you set long-term plans for your smoking habit, you will be more likely to succeed.",0,Not Soft
Have you thought about setting long-term plans for your smoking habits and how it might impact your success?,1,Soft
You're don't want to break up with your partner because you're you won't find someone else.,0,Not Soft
Have you ever taken a moment to explore your feelings about the possibility of not being able to find another partner if you decide to end your current relationship?,1,Soft
You're finding that you drink a lot when you're alone.,0,Not Soft
Have you noticed how your drinking habits might change when you're by yourself?,1,Soft
You don't like thinking about smoking because you're afraid to die.,0,Not Soft
Could it be that reflecting on your smoking habits is difficult for you because of worries about your health?,1,Soft
You dislike that others know that you smoke.,0,Not Soft
How do you feel about others being aware of your smoking habit?,1,Soft
You want to stop smoking cigars altogether.,0,Not Soft
Have you considered what your feelings might be about completely giving up cigar smoking?,1,Soft
You seem low-energy.,0,Not Soft
How are you feeling about your energy levels these days?,1,Soft
